movie_title,country,language,genres,color,content_rating,plot_keywords,director_name,actor_1_name,actor_2_name,actor_3_name
The Last Castle ,USA,English,Action|Drama|Thriller,Color,R,colonel|general|military|prison|three star general,Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby
Inkheart ,Germany,English,Adventure|Family|Fantasy,Color,PG,book|escape|girl|overalls|villain,Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman
Supernova ,USA,English,Horror|Sci-Fi|Thriller,Color,PG-13,deep space|distress signal|explosion|mining|rescue,Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall
Flyboys ,UK,English,Action|Adventure|Drama|History|Romance|War, Black and White,PG-13,american|france|military|pilot|training,Tony Bill,James Franco,Tyler Labine,Philip Winchester
Winter's Tale ,USA,English,Drama|Fantasy|Mystery|Romance,Color,PG-13,black and white photograph|drawing with blood|falling through ice|playing piano|red haired woman,Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan
Holy Man ,USA,English,Comedy|Drama,Color,PG,1990s|evangelist|professional rivalry|swimming pool|televangelist,Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack
Meet Dave ,USA,English,Adventure|Comedy|Family|Romance|Sci-Fi,Color,PG,alien|mutiny|orb|planet|spaceship,Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian
The Great Raid ,USA,Filipino,Action|Drama|War, Black and White,R,american|lieutenant colonel|mission|rescue|soldier,John Dahl,James Franco,Clayne Crawford,Paolo Montalban
Mortdecai ,UK,English,Action|Comedy|Mystery|Romance,Color,R,art dealer|fake painting|macguffin|moustache|stolen painting,David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen
In the Name of the King: A Dungeon Siege Tale ,Germany,English,Action|Adventure|Fantasy|Thriller,Color,PG-13,farmer|king|krug|rescue|wizard,Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier
Beyond Borders ,USA,English,Adventure|Drama|Romance|War,Color,R,africa|american|border|doctor|well,Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich
Xi you ji zhi: Sun Wukong san da Baigu Jing ,China,English,Action|Adventure|Fantasy,Color,R,buddhism|demon|journey to the west|monk|monkey king,Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng
Deadpool ,USA,English,Action|Adventure|Comedy|Romance|Sci-Fi,Color,R,based on comic book|breaking the fourth wall|mercenary|mutant|self healing,Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic
American Sniper ,USA,English,Action|Biography|Drama|History|Thriller|War,Color,R,assassin|death of child|iraq|sniper|sniper rifle,Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell
Goosebumps ,USA,English,Adventure|Comedy|Family|Fantasy|Horror,Color,PG,based on book|blob|ferris wheel|manuscript|monster,Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino
Red Tails ,USA,English,Action|Adventure|Drama|History|War,Color,PG-13,african american|battle|italy|tuskegee airmen|world war two,Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds
Just Like Heaven ,USA,English,Comedy|Fantasy|Romance,Color,PG-13,apartment|architect|coma|doctor|spirit,Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson
The Internship ,USA,English,Comedy,Color,PG-13,actor's picture shown in credits|animated credits|google|internship|still images in end credits,Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle
The Flintstones in Viva Rock Vegas ,USA,English,Comedy|Family|Romance|Sci-Fi,Color,PG,based on tv series|love|prequel|the flintstones|title appears in song,Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn
Leatherheads ,USA,English,Comedy|Drama|Romance|Sport,Color,PG-13,college football|fight|football|hero|surrender,George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell
Did You Hear About the Morgans? ,USA,English,Comedy|Drama|Romance,Color,PG-13,fbi|murder|witness|witness protection|wyoming,Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown
Resident Evil: Afterlife ,Germany,English,Action|Adventure|Horror|Sci-Fi,Color,R,alaska|female gunfighter|mutation|ship|siege,Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts
That's My Boy ,USA,English,Comedy,Color,R,argument|reference to vanilla ice|statutory rape|teacher student relationship|teacher student sex,Sean Anders,Adam Sandler,Leighton Meester,Will Forte
The Devil's Advocate ,USA,English,Drama|Mystery|Thriller,Color,R,deal with the devil|lawyer|money|reality|supernatural power,Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron
Ghost Rider: Spirit of Vengeance ,USA,English,Action|Fantasy|Thriller,Color,PG-13,deal with the devil|devil|eastern europe|ghost rider|monk,Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert
DragonHeart ,USA,English,Action|Adventure|Fantasy,Color,PG-13,dragon|england|human dragon relationship|king|knight,Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill
After the Sunset ,USA,English,Action|Comedy|Crime|Drama,Color,PG-13,diamond|fbi|fbi agent|island|thief,Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn
Captain Corelli's Mandolin ,UK,English,Drama|Music|Romance|War,Color,R,captain|greek|island|italian|love,John Madden,Christian Bale,Irene Papas,Mihalis Giannatos
Anger Management             ,USA,English,Comedy|Romance,Color,R,anger management|argument|irony|sarcasm|therapist,Steven Spielberg,Barry Corbin,Noureen DeWulf,Brian Austin Green
The Pacifier ,Canada,English,Action|Comedy|Drama|Family|Thriller,Color,PG,bodyguard|death of husband|male nanny|nanny|wrestling match,Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan
Forrest Gump ,USA,English,Comedy|Drama, Black and White,PG-13,amputee|love|vietnam|vietnam war|war hero,Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson
Alvin and the Chipmunks ,USA,English,Animation|Comedy|Family|Fantasy|Music,Color,PG,based on cartoon|chipmunk|concert|fart joke|talking animal,Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler
Hitch ,USA,English,Comedy|Romance,Color,PG-13,advice|friendship|gossip|newspaper|quitting a job,Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman
The Pursuit of Happyness ,USA,English,Biography|Drama,Color,PG-13,bus|intern|internship|salesman|stockbroker,Gabriele Muccino,Will Smith,Kurt Fuller,James Karen
Pocahontas ,USA,English,Adventure|Animation|Drama|Family|History|Musical|Romance,Color,G,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard
Superman ,USA,English,Action|Adventure|Drama|Romance|Sci-Fi,Color,PG,1970s|clark kent|planet|superhero|year 1978,Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty
The Nutty Professor ,USA,English,Comedy|Romance|Sci-Fi,Color,PG-13,face slap|formula|overweight|professor|teacher,Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle
Captain Phillips ,USA,English,Biography|Drama|Thriller,Color,PG-13,hijacking|hostage|leader|ship|somalia,Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus
George of the Jungle ,USA,English,Action|Adventure|Comedy|Family|Romance,Color,PG,animal companion|heiress|hero|jungle|male objectification,Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor
American Wedding ,USA,English,Comedy|Romance,Color,R,bachelor party|blow job|breasts|friend|wedding,Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard
The Equalizer ,USA,English,Action|Crime|Thriller,Color,R,assassin|ex soldier|gangster|hanged man|mysterious past,Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox
Casper ,USA,English,Comedy|Family|Fantasy,Color,PG,casper|friendly ghost|ghost|maine|mansion,Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty
Date Night ,USA,English,Comedy|Crime|Romance|Thriller,Color,PG-13,city|new york city|night|reservation|restaurant,Shawn Levy,Mila Kunis,James Franco,Steve Carell
Maid in Manhattan ,USA,English,Comedy|Drama|Romance,Color,PG-13,hotel|maid|new york city|place name in title|the bronx,Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson
Crimson Tide ,USA,English,Action|Drama|Thriller|War,Color,R,alabama|mutiny|order|radio|submarine,Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder
Flightplan ,USA,English,Drama|Mystery|Thriller,Color,PG-13,captain|flight|flight attendant|plane|search,Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm
Disclosure ,USA,English,Drama|Thriller,Color,R,computer|marriage|non statutory female on male rape|promotion|sexual harassment,Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia
City of Angels ,Germany,English,Drama|Fantasy|Romance,Color,PG-13,angel|doctor|fall|heart surgeon|hospital,Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore
Paddington ,UK,English,Animation|Comedy|Family|Fantasy,Color,PG,bear|ear wax cleaning|fake newsreel|paddington station london|taxidermist,Paul King,Julie Walters,Matt Lucas,Sally Hawkins
Kill Bill: Vol. 1 ,USA,English,Action, Black and White,R,bride|coma|japan|revenge|sword,Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama
Mr. Popper's Penguins ,USA,English,Comedy|Family|Fantasy,Color,PG,father|penguin|snowglobe|son|winter,Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall
Bowfinger ,USA,English,Comedy,Color,PG-13,film within a film|filmmaking|guerrilla filmmaking|making of a movie|scientology parody,Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy
Kill Bill: Vol. 2 ,USA,English,Action|Crime|Drama|Thriller, Black and White,R,assassin|assassination|bride|death|vengeance,Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen
Tango & Cash ,USA,English,Action|Comedy|Crime|Thriller,Color,R,1980s|80s action|escape|plea bargain|prison,Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James
Death Becomes Her ,USA,English,Comedy|Fantasy|Horror,Color,PG-13,plastic surgeon|rejuvenation|revenge|rival|rivalry,Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini
Shanghai Noon ,USA,English,Action|Adventure|Comedy|Western,Color,PG-13,19th century|chinese|princess|rescue|travel,Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben
Executive Decision ,USA,English,Action|Adventure|Thriller,Color,R,bomb|hostage|military|plane|terrorist,Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh
Free Birds ,USA,English,Adventure|Animation|Comedy|Family,Color,PG,chipmunk|hunting dog|sabotage|thanksgiving|turkey the bird,Jimmy Hayward,Amy Poehler,Carlos Ponce,Dan Fogler
Alien 3 ,USA,English,Action|Horror|Sci-Fi,Color,R,alien|crash|planet|prison|survivor,David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann
The Forbidden Kingdom ,USA,English,Action|Adventure|Fantasy,Color,PG-13,monkey king|staff|teenager|urination|warrior,Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano
The Phantom of the Opera ,UK,English,Drama|Musical|Romance|Thriller, Black and White,PG-13,based on stage musical based on novel|disfigurement|mask|opera|singer,Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson
Muppets Most Wanted ,USA,English,Adventure|Comedy|Crime|Family|Musical,Color,PG,europe|frog|gulag|prison break|puppet,James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville
Evita ,USA,English,Biography|Drama|History|Musical,Color,PG,actress|argentina|military|politics|singer,Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou
Ronin ,UK,English,Action|Adventure|Crime|Thriller,Color,R,case|ex kgb|ronin|russian|suitcase,John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale
Burlesque ,USA,English,Drama|Music|Musical|Romance,Color,PG-13,burlesque|dancer|iowa|small town girl|stage,Steve Antin,Eric Dane,Peter Gallagher,David Walton
The Ghost and the Darkness ,USA,English,Adventure|Drama|Horror|Thriller,Color,R,bridge|engineer|hunter|lion|railway,Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri
Changeling ,USA,English,Crime|Drama|Mystery|Thriller,Color,R,execution by hanging|los angeles police department|miscarriage of justice|missing child|wrongful conviction,Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore
The Watch ,USA,English,Action|Comedy|Sci-Fi,Color,R,alien|escape|manager|neighborhood watch|ohio,Akiva Schaffer,Will Forte,Nicholas Braun,Rosemarie DeWitt
The Hunted ,USA,English,Action|Crime|Drama|Thriller,Color,R,capture|combat|fbi|hunter|special forces,William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn
Instinct ,USA,English,Drama|Thriller,Color,R,africa|anthropologist|murder|poacher|psychiatrist,Jon Turteltaub,Anthony Hopkins,Maura Tierney,John Ashton
Stuck on You ,USA,English,Comedy,Color,PG-13,actor|conjoined twins|cook|internet|short order cook,Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel
Semi-Pro ,USA,English,Comedy|Sport,Color,R,flint michigan|merger|michigan|nba|team,Kent Alterman,Will Ferrell,Maura Tierney,Matt Walsh
Æon Flux ,USA,English,Action|Sci-Fi,Color,PG-13,based on cult favorite|disease|female hero|female protagonist|future,Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph
Chain Reaction ,USA,English,Action|Drama|Sci-Fi|Thriller,Color,PG-13,cold fusion|die hard scenario|man with glasses|on the run|outrunning explosion,Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn
The Fan ,USA,English,Action|Drama|Sport|Thriller,Color,R,baseball|fan|obsession|salesman|san francisco giants,Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin
Elizabeth: The Golden Age ,UK,English,Biography|Drama|History|War,Color,PG-13,court|intrigue|queen|spain|virgin,Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi Mollà
Imagine That ,USA,English,Comedy|Drama|Family|Fantasy,Color,PG,blanket|competition|family relationships|feather|sleepover,Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff
Gods and Generals ,USA,English,Drama|History|War,Color,PG-13,confederacy|hero|prequel|stonewall jackson|war hero,Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle
Turbulence ,USA,English,Action|Thriller,Color,R,airplane|christmas|marshal|pilot|u.s. marshal,Robert Butler,Hector Elizondo,Lauren Holly,Jeffrey DeMunn
Bullet to the Head ,USA,English,Action|Thriller,Color,R,bar|bullet|corruption|detective|lawyer,Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda
All the King's Men ,Germany,English,Drama|Thriller, Black and White,PG-13,governor|journalist|louisiana|mistress|politician,Steven Zaillian,Kate Winslet,Anthony Hopkins,Kevin Dunn
Thunderbirds ,UK,English,Action|Adventure|Comedy|Family|Sci-Fi,Color,PG,astronaut|island|lady penelope|rescue|the hood,Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet
A Very Long Engagement ,France,French,Drama|Mystery|Romance|War,Color,R,court martial|death|girl|no man's land|soldier,Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel
Eye See You ,USA,English,Crime|Horror|Mystery|Thriller,Color,R,drill in the eye|eye gouging|hanged woman|murder|peep hole,Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton
Superman II ,USA,English,Action|Adventure|Romance|Sci-Fi,Color,PG,alien invasion|based on comic book|flying superhero|phantom zone|revenge,Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper
"You, Me and Dupree ",USA,English,Comedy|Romance,Color,PG-13,best friend|foot fetish|houseguest|newlywed|wedding,Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer
Seven Pounds ,USA,English,Drama|Romance,Color,PG-13,boyfriend girlfriend relationship|heart|main character dies|organ donor|redemption,Gabriele Muccino,Will Smith,Rosario Dawson,Madison Pettis
The Godfather: Part III ,USA,English,Crime|Drama,Color,R,1970s|family relationships|mob hit|opera|repeating history,Francis Ford Coppola,Al Pacino,Joe Mantegna,Bridget Fonda
Elizabethtown ,USA,English,Comedy|Drama|Romance,Color,PG-13,flight|flight attendant|kentucky|shoes|travel,Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer
Gigli ,USA,English,Comedy|Crime|Romance,Color,R,gangster|hospital|lesbian|mob|thug,Martin Brest,Todd Giebenhain,Lenny Venito,David Backus
Shaft ,Germany,English,Action|Crime|Thriller,Color,R,blaxploitation|detective|drugs|shaft|trial,John Singleton,Christian Bale,Vanessa Williams,Daniel von Bargen
The Dukes of Hazzard ,USA,English,Action|Adventure|Comedy,Color,PG-13,1969 dodge charger|bikini|farm|misogynist|tow truck,Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston
Law Abiding Citizen ,USA,English,Crime|Drama|Thriller,Color,R,attorney|deal|district attorney|investigation|justice,F. Gary Gray,Gerard Butler,Leslie Bibb,Michael Kelly
Anastasia ,USA,English,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,Color,G,amnesia|reference to anastasia romanov|romanov|russia|russian revolution,Don Bluth,Kirsten Dunst,Kelsey Grammer,Bernadette Peters
Moulin Rouge! ,USA,English,Drama|Musical|Romance, Black and White,PG-13,death of main character|eiffel tower paris|jealousy|tragedy|two suitors,Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh
Domestic Disturbance ,USA,English,Crime|Mystery|Thriller,Color,PG-13,amateur detective|boat builder|boy|stepfather|witness,Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary
Flags of Our Fathers ,USA,English,Drama|History|War,Color,R,imperial japan|japan|japanese army|japanese soldier|world war two,Clint Eastwood,Paul Walker,Chris Bauer,Tom McCarthy
Grindhouse ,USA,English,Action|Horror|Thriller,Color,R,anthropophagus|blood and gore|double feature|real twins playing twins|zombie,Robert Rodriguez,Quentin Tarantino,Rosario Dawson,Zoë Bell
Beloved ,USA,English,Drama|History|Horror,Color,R,farm|freedom|ohio|slavery|spirit,Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper
Zero Dark Thirty ,USA,English,Drama|History|Thriller,Color,R,al qaeda|cia|interrogation|lie|navy seal,Kathryn Bigelow,Jennifer Ehle,Harold Perrineau,Parker Sawyers
Catch Me If You Can ,USA,English,Biography|Crime|Drama,Color,PG-13,attorney|cat and mouse|fbi|pan am|pilot,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Jennifer Garner
Mamma Mia! ,USA,English,Comedy|Family|Musical|Romance,Color,PG-13,bride|greece|island|mediterranean|wedding,Phyllida Lloyd,Colin Firth,Meryl Streep,Julie Walters
The Break-Up ,USA,English,Comedy|Drama|Romance,Color,PG-13,art|break up|football video game|kitchen|talking to one's self in a mirror,Peyton Reed,Jon Favreau,John Michael Higgins,Ann-Margret
Valentine's Day ,USA,English,Comedy|Romance,Color,PG-13,flower|indian restaurant|tv station|valentine|valentine's day,Garry Marshall,Bradley Cooper,Taylor Lautner,Anne Hathaway
Casino ,USA,English,Biography|Crime|Drama,Color,R,car bomb|card cheat|cash|casino|gambling syndicate,Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak
The Change-Up ,USA,English,Comedy|Fantasy,Color,R,best friend|fountain|law firm|lawyer|sex,David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe
The Thin Red Line ,USA,English,Drama|War,Color,R,battle|hill|jungle|multiple perspectives|tropical island,Terrence Malick,Nick Stahl,Miranda Otto,Dash Mihok
From Paris with Love ,France,English,Action|Thriller,Color,R,ambassador|cia|dinner|spy|terrorist,Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan
Bulletproof Monk ,USA,English,Action|Comedy|Fantasy,Color,PG-13,monastery|monk|scroll|tibetan|tibetan monk,Paul Hunter,Jaime King,Mako,Victoria Smurfit
"Me, Myself & Irene ",USA,English,Comedy,Color,R,dissociative identity disorder|limousine|multiple personality|police|rhode island,Bobby Farrelly,Robert Forster,Tony Cox,Rob Moran
Deck the Halls ,USA,English,Comedy|Family,Color,PG,christmas|december|holiday|massachusetts|neighbor,John Whitesell,Matthew Broderick,Jorge Garcia,Alia Shawkat
The Adjustment Bureau ,USA,English,Romance|Sci-Fi|Thriller,Color,PG-13,love at first sight|obscene finger gesture|rain|teleportation|three word title,George Nolfi,Matt Damon,Michael Kelly,Jon Stewart
The Twilight Saga: New Moon ,USA,English,Adventure|Drama|Fantasy|Romance,Color,PG-13,forks washington|protecting a woman|title same as book|vampire|werewolf,Chris Weitz,Robert Pattinson,Kristen Stewart,Taylor Lautner
Shrek ,USA,English,Adventure|Animation|Comedy|Family|Fantasy,Color,PG,donkey|fairy tale|ogre|princess|swamp,Andrew Adamson,Kathleen Freeman,Chris Miller,Bobby Block
Ted ,USA,English,Comedy|Fantasy,Color,R,2010s|car accident|sex scene|teddy bear|testicle,Seth MacFarlane,Mila Kunis,Seth MacFarlane,Tom Skerritt
22 Jump Street ,USA,English,Action|Comedy|Crime,Color,R,college|drugs|hidden camera|tattoo|undercover,Phil Lord,Channing Tatum,Craig Roberts,Amber Stevens West
Robin Hood: Prince of Thieves ,USA,English,Action|Adventure|Drama|Romance,Color,PG-13,balladeer|crusades|england|king|modern minstrel,Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott
Jerry Maguire ,USA,English,Comedy|Drama|Romance|Sport,Color,R,agent|career|client|fiance|sports agent,Cameron Crowe,Tom Cruise,Kelly Preston,Bonnie Hunt
Daddy's Home ,USA,English,Comedy|Family,Color,PG-13,biological father|dad|drinking|product placement|wilhelm scream,Sean Anders,Will Ferrell,Linda Cardellini,Mark L. Young
As Good as It Gets ,USA,English,Comedy|Drama|Romance,Color,PG-13,dog|friendship|neighbor|unlikely friendship|writer,James L. Brooks,Lupe Ontiveros,Yeardley Smith,Shirley Knight
Patch Adams ,USA,English,Biography|Comedy|Drama|Romance,Color,PG-13,doctor|hospital|mental institution|nurse|student,Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter
Into the Woods ,USA,English,Adventure|Comedy|Drama|Fantasy|Musical,Color,PG,based on stage musical|cinderella|little red riding hood|singing|witch,Rob Marshall,Johnny Depp,Meryl Streep,Anna Kendrick
Anchorman 2: The Legend Continues ,USA,English,Comedy,Color,PG-13,fame|father son relationship|interracial kiss|interracial relationship|interracial sex,Adam McKay,Harrison Ford,Will Ferrell,Steve Carell
Super 8 ,USA,English,Mystery|Sci-Fi|Thriller,Color,PG-13,deputy|group of friends|time|train|train crash,J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills
Mr. Deeds ,USA,English,Comedy|Romance,Color,PG-13,abbreviation in title|reporter|small town|sudden wealth|unknowing heir,Steven Brill,Steve Buscemi,Adam Sandler,Peter Gallagher
Central Intelligence ,USA,English,Action|Comedy|Crime,Color,PG-13,accountant|blooper|espionage|facebook|high school reunion,Rawson Marshall Thurber,Dwayne Johnson,Thomas Kretschmann,Megan Park
Erin Brockovich ,USA,English,Biography|Drama,Color,R,contamination|corporate crime|environmental issue|female protagonist|working single mother,Steven Soderbergh,Julia Roberts,Albert Finney,Conchata Ferrell
How to Lose a Guy in 10 Days ,USA,English,Comedy|Romance,Color,PG-13,advertising executive|diamond|magazine|party|wager,Donald Petrie,Matthew McConaughey,Adam Goldberg,Thomas Lennon
Interview with the Vampire: The Vampire Chronicles ,USA,English,Drama|Fantasy|Horror,Color,R,betrayal|dangerous friend|gothic|monster as victim|vampire,Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst
Yes Man ,USA,English,Comedy|Romance,Color,PG-13,best friend|dvd|girlfriend|loan|self help,Peyton Reed,Bradley Cooper,Zooey Deschanel,Danny Masterson
Non-Stop ,UK,English,Action|Mystery|Thriller,Color,PG-13,air marshal|death|passenger|terrorist|transatlantic flight,Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy
Stepmom ,USA,English,Comedy|Drama,Color,PG-13,attorney|cancer|custody|fashion photographer|photographer,Chris Columbus,Julia Roberts,Liam Aiken,Herbert Russell
Failure to Launch ,USA,English,Comedy|Romance,Color,PG-13,friend|intervention|moving|secret|slacker,Tom Dey,Bradley Cooper,Matthew McConaughey,Zooey Deschanel
Inside Man ,USA,English,Crime|Drama|Mystery|Thriller,Color,R,bank|detective|negotiation|police|robber,Spike Lee,Denzel Washington,James Ransone,Peter Gerety
"Crazy, Stupid, Love. ",USA,English,Comedy|Drama|Romance,Color,PG-13,bar|divorce|friend|girl|male objectification,Glenn Ficarra,Ryan Gosling,Emma Stone,Steve Carell
Payback ,USA,English,Action|Crime|Drama|Thriller,Color,R,anti hero|criminal|greed|prostitute|tough guy,Brian Helgeland,Bill Duke,Deborah Kara Unger,William Devane
Knowing ,USA,English,Drama|Mystery|Sci-Fi|Thriller,Color,PG-13,disaster|end of the world|number|student|time capsule,Alex Proyas,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury
The Ring Two ,USA,English,Horror|Mystery,Color,PG-13,cartoon on tv|foreign language adaptation|second part|videotape|writer,Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek
We Bought a Zoo ,USA,English,Comedy|Drama|Family,Color,PG,blocked road|father son relationship|love at first sight|teenage boy|zookeeper,Cameron Crowe,Scarlett Johansson,Matt Damon,Stephanie Szostak
Moneyball ,USA,English,Biography|Drama|Sport,Color,PG-13,baseball|meeting|statistics|strategy|voice over,Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt
Garfield ,USA,English,Animation|Comedy|Family|Fantasy,Color,PG,cat|dog|first part|lasagna|veterinarian,Peter Hewitt,Bill Murray,Mark Christopher Lawrence,Michael Monks
Christmas with the Kranks ,USA,English,Comedy|Family,Color,PG,act of kindness|christmas|christmas eve|neighbor|vacation,Joe Roth,Jamie Lee Curtis,Cheech Marin,Jake Busey
V for Vendetta ,USA,English,Action|Drama|Thriller,Color,R,dystopia|freedom|government|revolution|terrorist,James McTeigue,Natalie Portman,Eddie Marsan,Rupert Graves
Outbreak ,USA,English,Action|Drama|Thriller,Color,R,disease|epidemic|monkey|quarantine|virus,Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo
Race to Witch Mountain ,USA,English,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Color,PG,alien|military|mountain|spacecraft|ufo,Andy Fickman,Dwayne Johnson,Billy Brown,Tom Everett Scott
Herbie Fully Loaded ,USA,English,Adventure|Comedy|Family|Fantasy|Romance|Sport,Color,G,automobile racing|car|mechanic|nascar|street racing,Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines
Shanghai Knights ,USA,English,Action|Adventure|Comedy,Color,PG-13,1880s|arrow|imperial seal|murder|revenge,David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman
Curious George ,USA,English,Adventure|Animation|Comedy|Family,Color,G,hat|monkey|museum|shrine|yellow,Matthew O'Callaghan,Will Ferrell,Frank Welker,Alexander Gould
American Reunion ,USA,English,Comedy,Color,R,bikini|female female kiss|high school reunion|outdoor sex|upskirt,Jon Hurwitz,Alyson Hannigan,Dania Ramirez,Natasha Lyonne
Hansel & Gretel: Witch Hunters ,Germany,English,Action|Fantasy|Horror,Color,R,bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power,Tommy Wirkola,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal
I Am Number Four ,USA,English,Action|Adventure|Sci-Fi|Thriller,Color,PG-13,based on young adult novel|good versus evil|guardian|human alien|ohio,D.J. Caruso,Alex Pettyfer,Emily Wickersham,Reuben Langdon
Don't Say a Word ,USA,English,Crime|Drama|Mystery|Thriller,Color,R,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode
